City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Jamestown,US,76.64,overcast clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
2,Lucea,JM,75.85,overcast clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
3,Katsuura,JP,80.92,overcast clouds,35.13,140.3,Katsuura Hotel Mikazuki
7,Kollam,IN,76.1,overcast clouds,8.88,76.6,The Raviz Ashtamudi
12,Trinidad,BO,81.28,overcast clouds,-14.83,-64.9,Hotel Piesta
13,Padang,ID,78.85,overcast clouds,-0.95,100.35,Mercure Padang
16,Bethel,US,75.76,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
18,Majholi,IN,81.64,overcast clouds,23.5,79.92,Ritik tamrakar
19,Manggar,ID,82.31,light rain,-2.88,108.27,Guest Hotel
20,Along,IN,82.38,overcast clouds,28.17,94.77,Hotel West
27,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
28,Rock Springs,US,79.23,clear sky,41.59,-109.2,Homewood Suites by Hilton Rock Springs
32,Gizo,SB,85.24,clear sky,-8.1,156.84,Imagination Island
35,Boli,CN,89.62,scattered clouds,45.77,130.52,The Disabled Recovery Xunlianshi
36,Bilma,NE,88.43,broken clouds,18.69,12.92,Expeditions Ténére voyages
38,Hilo,US,78.24,moderate rain,19.73,-155.09,Hilo Hawaiian Hotel
42,Kapaa,US,84.18,clear sky,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
45,Boca Do Acre,BR,77.13,overcast clouds,-8.75,-67.4,Hotel Linhares
46,Bengkulu,ID,80.42,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
48,Salalah,OM,78.89,mist,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
52,Kavieng,PG,83.97,light rain,-2.57,150.8,Nusa Island Retreat
53,Abu Samrah,SY,75.61,clear sky,35.3,37.18,
55,Butaritari,KI,81.99,few clouds,3.07,172.79,Isles Sunset Lodge
61,Bathsheba,BB,82.06,broken clouds,13.22,-59.52,Atlantis Hotel
65,Fare,PF,78.55,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
70,Ribeira Grande,PT,75.25,light rain,38.52,-28.7,Quinta da Meia Eira
71,Fairbanks,US,75.02,clear sky,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
72,Paralimni,CY,77.14,clear sky,35.04,33.98,Amore Hotel Apartments
75,Kalmunai,LK,78.82,moderate rain,7.42,81.82,VS Villa
77,Porbandar,IN,83.07,overcast clouds,21.64,69.61,Lords Inn Porbandar
79,Newark,US,80.28,few clouds,40.74,-74.17,"Robert Treat Hotel, BW Premier Collection"
80,Avarua,CK,77.05,broken clouds,-21.21,-159.78,Paradise Inn
81,Albany,US,75.61,clear sky,42.6,-73.97,
84,Atuona,PF,77.27,light rain,-9.8,-139.03,Villa Enata
85,Thinadhoo,MV,81.09,overcast clouds,0.53,72.93,
87,Oskaloosa,US,81.18,scattered clouds,41.3,-92.64,EverSpring Inn & Suites
89,Sao Filipe,CV,76.84,overcast clouds,14.9,-24.5,Hotel Xaguate
91,Taoudenni,ML,89.56,clear sky,22.68,-3.98,
94,Awjilah,LY,77.79,clear sky,29.11,21.29,المنزل
98,Cabo San Lucas,MX,87.1,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
100,Georgetown,MY,81.9,scattered clouds,5.41,100.34,Cititel Penang
103,Ixtapa,MX,83.23,overcast clouds,20.7,-105.2,hotel la terminal
108,Ormara,PK,81.75,overcast clouds,25.21,64.64,Kenara Colony House for Rent
109,Pingliang,CN,84.22,clear sky,35.54,106.69,Xinxiang Hostel
115,Poum,NC,75.27,few clouds,-20.23,164.02,
118,Pauini,BR,77.52,broken clouds,-7.71,-66.98,Casa do Kiwliks
120,Fukue,JP,83.88,broken clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
121,Hamilton,US,82.24,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
122,Sinnamary,GF,77.43,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
123,Safaga,EG,87.57,few clouds,26.73,33.94,Lamar Resort Abu Soma
124,Lorengau,PG,83.52,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
127,Phayao,TH,85.44,overcast clouds,19.25,100.25,chuthagarden
131,Vung Tau,VN,82.71,overcast clouds,10.35,107.08,Seaside Resort
137,Pochutla,MX,80.82,scattered clouds,15.74,-96.47,Hotel Posada San Jose
138,Lalmohan,BD,84.94,light rain,22.34,90.74,Arifur Rahman Miraj
140,Rincon,US,82.85,scattered clouds,32.3,-81.24,Days Inn Rincon
144,Palembang,ID,82.49,few clouds,-2.92,104.75,SPOT ON 2738 818 Home Stay
147,Magadi,IN,75.45,overcast clouds,12.97,77.23,SIRAJ HOTEL
148,Leninskoye,KZ,81.93,broken clouds,41.76,69.39,Қалдыбайдың үйі 🏘️
149,Shu,KZ,76.19,scattered clouds,43.6,73.76,Shyngyzkhan
150,San Patricio,US,85.89,clear sky,28.02,-97.52,"Motel 6 Sinton, TX"
151,Sorong,ID,83.44,moderate rain,-0.88,131.25,Waigo Splash Hotel
154,Auki,SB,84.81,few clouds,-8.77,160.7,Auki Motel
158,Porto Empedocle,IT,78.17,clear sky,37.29,13.53,Hotel dei Pini
169,Wewak,PG,83.91,overcast clouds,-3.55,143.63,In Wewak Boutique Hotel
173,Vostok,RU,80.02,overcast clouds,46.49,135.88,
174,Bochum,DE,75.51,broken clouds,51.48,7.22,acora Bochum Living the City
175,Airai,TL,75.58,broken clouds,-8.93,125.41,
179,Coahuayana,MX,79.3,overcast clouds,18.73,-103.68,El rranchito michuacan de ocampos
180,Celestun,MX,80.6,clear sky,20.87,-90.4,Posada Lilia
183,Tautira,PF,76.62,light rain,-17.73,-149.15,Pension Oaoa
185,Trairi,BR,75.0,few clouds,-3.28,-39.27,janelas do mar
187,San Policarpo,PH,83.79,light rain,12.18,125.51,Agapita M. Nicart
192,Hakui,JP,77.14,light rain,36.88,136.78,KYUKAMURA NOTO-CHIRIHAMA
193,Araouane,ML,88.84,light rain,18.9,-3.53,
200,Linqiong,CN,84.11,few clouds,30.42,103.46,Tianlun Tanxianglou Hotel
205,Golden,US,77.61,broken clouds,39.76,-105.22,"The Golden Hotel, Ascend Hotel Collection"
206,Victoria,HK,79.25,heavy intensity rain,22.29,114.16,Mini Central
209,Biloela,AU,76.5,clear sky,-24.42,150.5,Silo Motor Inn Biloela
213,Wattegama,LK,75.92,moderate rain,6.8,81.48,
215,Kaihua,CN,77.4,broken clouds,23.37,104.28,Zhongyu Hotel
217,Russell,US,80.2,clear sky,32.35,-85.2,Macs
220,Tagusao,PH,85.91,overcast clouds,9.19,117.81,Caycay future beach resort
224,Road Town,VG,82.49,overcast clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
227,Tukrah,LY,78.3,clear sky,32.53,20.58,Lagrota restaurant
229,Tahoua,NE,79.7,overcast clouds,14.89,5.27,Bungalows Guesthouse
230,Gorontalo,ID,87.51,few clouds,0.54,123.06,Maqna Hotel by Prasanthi
233,Barao De Melgaco,BR,75.18,scattered clouds,-16.19,-55.97,Tuiuiu Pantanal Hotel
234,Hithadhoo,MV,81.7,overcast clouds,-0.6,73.08,Scoop Guest House
235,Tombouctou,ML,86.43,overcast clouds,20.0,-3.0,
240,Naze,JP,83.59,broken clouds,28.37,129.48,Shishime Hotel
241,Bambanglipuro,ID,82.11,broken clouds,-7.95,110.28,Puri Brata
243,Bubaque,GW,78.3,moderate rain,11.28,-15.83,"Casa Dora, Bubaque"
246,Dangriga,BZ,80.08,few clouds,16.97,-88.23,Chaleanor Hotel
251,Panguna,PG,83.07,broken clouds,-6.32,155.48,
253,Faanui,PF,78.4,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
258,Palauig,PH,84.81,overcast clouds,15.44,119.9,Villa Raphael Resort
260,Rudbar,AF,86.49,clear sky,30.15,62.6,
261,Neijiang,CN,86.32,few clouds,29.58,105.06,Han'an Hotel
262,Nurota,UZ,82.9,clear sky,40.56,65.69,Guest House Ruslan Nurata & Tours
265,Panaba,MX,75.02,overcast clouds,21.28,-88.27,Hotel Amor
266,Hays,US,89.6,scattered clouds,30.05,-98.03,Sinya on Lone Man Creek
