City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.33,57.79,70,14,15.41,few clouds
1,Jamestown,US,42.1,-79.24,76.64,73,100,0,overcast clouds
2,Lucea,JM,18.45,-78.17,75.85,77,100,3.6,overcast clouds
3,Katsuura,JP,35.13,140.3,80.92,79,100,14.47,overcast clouds
4,Ushuaia,AR,-54.8,-68.3,37.06,87,75,3.44,broken clouds
5,Lebu,CL,-37.62,-73.65,48.22,89,90,10.16,overcast clouds
6,Mataura,NZ,-46.19,168.86,57.47,64,29,8.1,scattered clouds
7,Kollam,IN,8.88,76.6,76.1,93,100,24.27,overcast clouds
8,Dikson,RU,73.51,80.55,45.54,95,95,8.57,overcast clouds
9,Cape Town,ZA,-33.93,18.42,55.35,82,99,5.99,overcast clouds
10,Kopavogur,IS,64.11,-21.91,44.85,78,68,9.31,broken clouds
11,Ornskoldsvik,SE,63.29,18.72,59.95,100,75,9.22,broken clouds
12,Trinidad,BO,-14.83,-64.9,81.28,55,87,3.51,overcast clouds
13,Padang,ID,-0.95,100.35,78.85,86,96,4.61,overcast clouds
14,Beringovskiy,RU,63.05,179.32,50.54,83,100,5.68,overcast clouds
15,Oktyabrskiy,RU,54.48,53.47,65.71,73,54,3.31,broken clouds
16,Bethel,US,41.37,-73.41,75.76,82,0,0,clear sky
17,Sao Joao Da Barra,BR,-21.64,-41.05,67.73,86,0,1.34,clear sky
18,Majholi,IN,23.5,79.92,81.64,71,100,3.51,overcast clouds
19,Manggar,ID,-2.88,108.27,82.31,75,91,8.72,light rain
20,Along,IN,28.17,94.77,82.38,85,99,0.49,overcast clouds
21,Punta Arenas,CL,-53.15,-70.92,37.51,93,75,16.11,light intensity drizzle
22,Mayumba,GA,-3.43,10.66,69.21,89,87,6.6,overcast clouds
23,Yulara,AU,-25.24,130.99,70.34,30,0,19.26,clear sky
24,Villa Carlos Paz,AR,-31.42,-64.5,52.39,57,100,6.8,light rain
25,Vila Velha,BR,-20.33,-40.29,71.55,92,20,2.3,few clouds
26,Preston,GB,53.77,-2.72,61.66,95,65,4.79,broken clouds
27,Vaini,TO,-21.2,-175.2,80.76,89,75,10.36,broken clouds
28,Rock Springs,US,41.59,-109.2,79.23,26,0,10.36,clear sky
29,Klaksvik,FO,62.23,-6.59,49.12,82,95,11.12,overcast clouds
30,Port Alfred,ZA,-33.59,26.89,57.18,90,31,1.01,scattered clouds
31,Souillac,MU,-20.52,57.52,68.38,73,40,6.91,scattered clouds
